_task,_task_name,_task_country,depth,water_temperature,precipitation_local,pasture,cropland,area,elevation,latitude,lake_type_1,lake_type_2,lake_type_3,_task_count
0,Lake Erie,United States of America (the),3.7184382563554808,12.454177167338742,7.348587530927593,31,18,11.114926912628793,180.79634877756376,41.74370809304488,0,0,1,510
1,Taihu,China,0.8329091229351041,16.011545973557702,7.050122520269059,0,84,7.753297313093885,3.2999999999999963,31.236185624747478,1,0,0,198
2,Lake Kasumigaura,Japan,1.9600947840472698,7.558007812500023,7.2868764117507,0,51,5.12610454390237,142.70501147000883,36.06131006207446,0,0,1,120
3,Eagle Creek Reservoir,United States of America (the),1.1631508098056809,21.226668294270837,6.139884552226255,0,0,-1.203972804325936,238.0,39.846196625,1,0,0,80
4,Dianchi,China,2.9856819377004897,16.816909555288476,6.994849985833071,28,25,5.698568907603313,535.1154416836994,24.826301433593756,1,0,0,64
5,Geist Reservoir,United States of America (the),1.856297990365626,13.073334418402851,6.375024819828097,0,0,-1.5141277326297755,238.0,39.930679827586225,1,0,0,56
6,Morse Reservoir,United States of America (the),0.9555114450274363,13.073334418402851,6.1092475827643655,0,0,-1.4271163556401456,248.0,40.10059222222221,1,0,0,54
7,Lake Erie,Canada,3.7184382563554808,12.791341145833314,7.348587530927593,31,18,11.114926912628793,174.0,41.8587995554,0,0,1,49
8,Garda,Italy,4.289088639014612,16.55792164522063,6.844815479208263,4,45,5.871864236206742,65.0,45.500459120885246,1,0,0,49
9,Lake Winnipeg,Canada,6.605027248325085,19.725000000000023,6.163314804034641,0,0,10.37248755331526,217.0,52.01237500021741,0,0,1,45
10,Chaohu,China,0.9932517730102834,16.188317871093716,7.040536390215956,4,63,6.668240954816982,8.169999999999998,31.578445699999985,1,0,0,40
11,Lake Hume,Australia,3.3141860046725258,16.09332682291671,6.752270376141742,33,2,4.7098904967584945,192.0,-36.1049541725,0,1,0,40
12,Branched Oak Lake,United States of America (the),1.4586150226995167,17.737512207031273,5.556828061699537,0,0,-1.3862943611198906,390.0,40.9727185,1,0,0,40
13,Rosarito,Spain,2.1400661634962708,22.956648763020837,6.129050210060545,22,8,2.323367632176574,307.0,40.09448713870371,0,1,0,38
14,Embalse de Paso del Palmar,Uruguay,0.9932517730102834,20.795007324218773,5.634789603169249,0,0,2.89977188240808,70.0,-33.078881621621626,1,0,0,37
15,Erhai,China,3.6913763343125234,17.552962239583337,7.027314514039777,6,10,5.490424224076788,223.37285130301467,25.824160435675672,1,0,0,37
16,Mantova,Italy,0.9162907318741551,8.209985351562523,6.799055862058796,15,59,1.7850704810772584,15.0,45.162374229074075,1,0,0,36
17,Pinto Lake,United States of America (the),1.3609765531356006,19.194970703125023,6.194405391104672,0,0,-1.6094379124341003,35.0,36.951260000000026,1,0,0,33
18,Loskop,South Africa,2.7013612129514133,19.744422743055566,6.606650186198215,54,25,3.163363114937942,1002.0,-25.452999999999985,0,1,0,31
19,Ibitinga Reservoir,Brazil,2.6100697927420065,23.947737630208337,5.84354441703136,0,0,1.5892352051165808,400.0,-21.835811607125,1,0,0,28
20,Ba Be Lake,Viet Nam,3.321432413193293,19.226668294270837,7.434847875211999,4,4,1.0818051703517284,223.37285130301467,22.40854642857143,1,0,0,28
21,Wuhan East Lake,China,1.7749523509116736,13.996647135416708,7.206377291472252,0,61,3.1937631240531257,26.0,30.56430878181818,1,0,0,28
22,Liangzi Lake,China,2.0149030205422647,19.836653645833337,7.259116128097101,3,57,5.7119490373225945,25.0,30.2524635075,1,0,0,25
23,Lake Geneva,Switzerland,5.048573133436648,14.360000000000014,6.893656354602635,24,20,6.348666851967497,372.0,46.49487557839105,1,0,0,24
24,Lake Kummerow,Germany,1.4586150226995167,11.191992187500034,6.47543271670409,15,42,3.453789831781326,0.20000000000000007,53.834190370370365,1,0,0,22
25,Albufera,Spain,0.09531017980432493,17.209985351562523,6.309918278226516,2,36,3.125882958019036,1.0,39.327631608965525,1,0,0,21
26,Trasimeno,Italy,2.341805806147327,16.545154989919354,6.795705775173514,13,73,4.7831489933479086,258.0,43.12997575000001,1,0,0,21
27,Lake Rotoehu,New Zealand,2.91235066461494,10.019982910156273,7.72356247227797,25,0,2.008214032391468,302.6939999999999,-38.01907689999999,1,0,0,20
28,Lake Rotoiti,New Zealand,3.502549875922443,10.019982910156273,7.611842399580417,10,0,3.488902962081261,266.453,-38.03330205,1,0,0,20
29,"West Lake, Hanoi",Viet Nam,1.1314021114911006,24.170007324218773,7.4798641311650265,0,57,1.763017000362401,5.0,21.04843157894737,1,0,0,19
30,Hou Lake,China,0.6931471805599453,7.774987792968773,7.173958319756794,2,77,2.6282852326333477,20.0,30.731096108333336,1,0,0,18
31,Lake Rotoma,New Zealand,3.5751506887855933,10.019982910156273,7.720017940432244,25,0,2.3869262414277963,295.1723529411765,-38.041686588235294,1,0,0,17
32,Fremont Lake #05,United States of America (the),1.62924053973028,3.1000000000000227,6.26530121273771,0,0,-1.5141277326297755,366.0,41.44907,1,0,0,17
33,Fremont Lake #03,United States of America (the),1.62924053973028,3.1000000000000227,6.26530121273771,0,0,-1.5141277326297755,370.0,41.45073000000001,1,0,0,17
34,Fremont Lake #01,United States of America (the),1.62924053973028,3.1000000000000227,6.26530121273771,0,0,-1.5141277326297755,366.0,41.45017,1,0,0,17
35,Fremont Lake #16,United States of America (the),0.6418538861723948,3.1000000000000227,6.226536669287466,0,0,0.04879016416943204,365.0,41.44202,1,0,0,17
36,Fremont Lake #17,United States of America (the),0.6418538861723948,3.1000000000000227,6.226536669287466,0,0,0.04879016416943204,365.0,41.43939999999999,1,0,0,17
37,Fremont Lake #02,United States of America (the),1.62924053973028,3.1000000000000227,6.26530121273771,0,0,-1.5141277326297755,366.0,41.449799999999996,1,0,0,17
38,Roodeplaat,South Africa,2.4423470353692043,19.15332438151046,6.666956792429207,20,15,1.366091653802371,1246.0,-25.62685407411764,0,1,0,17
39,Iseo,Italy,4.2626798770413155,6.204980468750023,6.917705609835305,8,3,4.073631520624559,185.0,45.699269555555546,1,0,0,17
40,Fremont Lake #07,United States of America (the),1.62924053973028,3.1000000000000227,6.26530121273771,0,0,-1.5141277326297755,368.0,41.449920000000006,1,0,0,16
41,Hartbeespoort,South Africa,2.468099531471619,19.619989013671898,6.594413459749778,23,20,2.8320361808832013,1189.0,-25.75153750000001,0,1,0,16
42,Poyang Lake,China,1.9315214116032136,24.15552842881948,7.356279876550748,5,40,7.78256546620616,10.0,29.157452568750003,1,0,0,16
43,Maggiore,Italy,4.42962561347316,14.505914306640648,7.142827401161621,5,1,5.338931339433292,193.0,45.91810407407406,0,0,1,16
44,Western Treatment Plant,Australia,-0.35667494393873245,7.379998779296898,6.4692503167957724,0,1,0.9858167945227654,5.0,-37.994249624999995,1,0,0,16
45,Curuai Lake,Brazil,0.5877866649021191,30.43274147727277,6.620073206530356,74,7,5.211069597983756,10.0,-2.1393722226666667,1,0,0,15
46,Lake Michigan,United States of America (the),0.1823215567939548,19.514978027343716,5.442417710521793,70,0,10.0802101309296,174.92857142857142,44.77074980952381,1,0,0,15
47,Fremont Lake #04,United States of America (the),1.62924053973028,3.1000000000000227,6.26530121273771,0,0,-1.5141277326297755,366.0,41.45053000000001,1,0,0,14
48,Fremont Lake #20,United States of America (the),0.6418538861723948,3.1000000000000227,6.226536669287466,0,0,0.04879016416943204,365.0,41.43662846153846,1,0,0,13
49,Lake Monona,United States of America (the),0.6418538861723948,24.314996337890648,5.793013608384144,0,0,0.10436001532424286,254.0,43.06937833333333,1,0,0,12
50,Geneva Lake,United States of America (the),2.4932054526026954,13.90333116319448,5.755742213586912,0,0,1.0152306797290587,261.0,42.565975,1,0,0,12
51,Lake Mendota,United States of America (the),2.001480000210124,24.314996337890648,5.942799375126701,0,0,1.275362800412609,258.0,43.10479083333334,1,0,0,12
52,Rock Lake,United States of America (the),1.667706820558076,10.989984130859398,6.1070228877422545,0,0,-0.6348782724359695,252.0,43.08033083333333,1,0,0,12
53,Lago Rincon del Bonete,Uruguay,0.7884573603642703,20.403955078125023,5.631211781821365,0,0,2.364620483913498,70.0,-32.73902681818181,1,0,0,11
54,Lake Poygan,United States of America (the),2.5494451709255714,15.736807528409088,7.45876269238096,1,45,5.323156309894955,228.0,44.142509090909094,0,1,0,11
55,Burrinjuck Dam,Australia,4.110873864173311,15.833333333333314,6.733401891837359,14,2,2.8296776892239084,343.0,-34.96833514545455,0,1,0,11
56,Mulargia,Italy,5.051777237427431,21.954282924107247,6.361302477572996,10,4,0.8329091229351041,256.0,39.62023787878789,0,1,0,11
57,Theewaterskloof,South Africa,2.468099531471619,17.06164957682296,6.848005274576363,50,31,3.614155907918,337.0,-34.029,0,1,0,10
58,Lake Winnebago,United States of America (the),2.5494451709255714,15.939066938920462,7.45876269238096,1,45,5.323156309894955,226.0,43.969041000000004,0,1,0,10
59,Lake Waubesa,United States of America (the),1.667706820558076,10.989984130859398,5.638354669333745,0,0,-1.203972804325936,256.0,43.010737777777784,1,0,0,9
60,Lake Kegonsa,United States of America (the),0.6418538861723948,10.989984130859398,5.8289456176102075,0,0,0.9555114450274363,256.0,42.96541888888889,1,0,0,9
61,Iznájar,Spain,4.144720769547168,15.638574218750023,6.473890696352274,12,78,2.751109690562657,421.0,37.267914087142856,0,1,0,9
62,Biwa,Japan,3.730501128804756,15.831315104166663,7.568379267836522,0,11,6.512606771275923,223.3728513030148,35.259329629999996,0,0,1,9
63,Lake Jindabyne,Australia,3.353406717825807,15.833333333333314,6.814542897259958,21,0,3.1875915348284343,914.0,-36.36601506,0,1,0,9
64,Pelican Lake,United States of America (the),2.4932054526026954,7.769982910156273,5.981414211254481,0,0,1.3190856114264407,482.0,45.50878888888889,1,0,0,9
65,Metonga Lake,United States of America (the),0.9555114450274363,22.279992675781273,5.638354669333745,0,0,-1.1394342831883648,486.0,45.54122,1,0,0,9
66,Almendra,Spain,4.2710950739666,13.523339843750023,6.4425401664681985,13,22,3.6149637711637683,730.0,41.23337051307692,0,1,0,9
67,"Lake Okeechobee, FL",United States of America (the),3.2809112157876537,25.420343017578148,6.436150368369428,25,13,7.124735878260934,223.37285130301476,27.147852846153846,1,0,0,9
68,Suwa,Japan,2.0794415416798357,13.830029296875011,7.226936018493289,0,9,2.5494451709255714,223.3728513030148,36.053015431111106,1,0,0,9
69,Ogallala Lake,United States of America (the),1.410986973710262,12.313338216145837,6.148468295917647,0,0,-0.8915981192837835,952.0,41.21704714285715,1,0,0,7
70,Lake Vänern,Sweden,3.332204510175204,8.585677083333337,6.616065185132817,2,17,8.610014822805448,44.0,58.69127381142857,0,0,1,7
71,Alcántara,Spain,4.247065649239764,22.956648763020837,6.480044561926653,19,24,3.8159525366774125,218.0,39.71047534625001,0,1,0,7
72,Lake Pamamaroo,Australia,1.5892352051165808,18.44140625,5.883322388488279,94,0,4.186315840760911,72.0,-32.28722681428571,1,0,0,7
73,Vaal,South Africa,2.4159137783010487,18.444439338235327,6.660575149839686,44,48,5.662647931297646,1486.0,-26.902264999999996,0,1,0,6
74,Mamiraua,Brazil,1.791759469228055,29.829980468750023,6.338594078203183,0,0,-0.8439700702945289,75.0,-2.9422685000000004,1,0,0,6
75,Como,Italy,4.635699391022914,8.777001953125023,7.168579897264035,9,3,4.9786629148529835,198.0,46.01486933333334,1,0,0,6
76,Trout Lake,United States of America (the),1.9459101490553132,4.350000000000023,5.356586274672012,0,0,0.598836501088704,491.0,46.04031833333334,1,0,0,6
77,Lake Bonney,Australia,1.410986973710262,15.166650390625023,5.8522024797744745,14,73,2.89591193827178,6.0,-34.22087411666667,1,0,0,6
78,Green Lake,United States of America (the),1.252762968495368,24.314996337890648,5.978885764901122,0,0,0.16551443847757352,242.0,43.80972,1,0,0,6
79,Lake Wissota,United States of America (the),1.4586150226995167,13.635003662109398,5.762051382780177,0,0,0.9162907318741551,274.0,44.95085,1,0,0,6
80,Lake Chippewa,United States of America (the),2.0794415416798357,13.635003662109398,5.929589143389895,0,0,1.0612565021243408,398.0,45.94202333333334,1,0,0,6
81,Petenwell Lake,United States of America (the),2.128231705849268,16.063338216145837,5.978885764901122,0,0,1.0043016091968684,281.0,44.141751666666664,1,0,0,6
82,Cuerda del Pozo,Spain,2.7788192719904172,12.847497558593716,6.51471269087253,9,6,2.667922410011431,1078.0,41.85003373,0,1,0,6
83,Lac Vieux Desert,United States of America (the),2.4069451083182885,9.582231987847251,5.924255797414532,0,0,1.275362800412609,511.0,46.12922833333334,1,0,0,6
84,Big Saint Germain Lake,United States of America (the),1.8870696490323797,1.2474914550781477,6.150602768446279,0,0,-1.3862943611198906,484.0,45.93405166666667,1,0,0,6
85,Pine Lake,United States of America (the),1.5040773967762742,13.310001627604208,6.0473721790462776,0,0,-0.7550225842780328,497.0,45.67854666666667,1,0,0,6
86,Blowering Reservoir,Australia,4.354141431184346,15.833333333333314,6.940222469119639,23,1,3.0469005601283903,379.0,-35.47510711111111,0,1,0,5
87,McConaughy Lake,United States of America (the),2.617395832834079,12.313338216145837,6.626717749249025,28,11,4.854605071256369,993.0,41.250221999999994,1,0,0,5
